State/UnionTerritory,Date,Confirmed,Deaths,Cured,Daily_New_Cases,TotalSamples,Positive,First Dose Administered,Second Dose Administered,CFR,Positive_Test_Rate,Vaccination_Rate,Risk_Level
Andaman and Nicobar Islands,2020-03-26,1,0,0,,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-03-27,1,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-03-28,6,0,0,5.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-03-29,9,0,0,3.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-03-30,9,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-03-31,10,0,0,1.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-01,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-02,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-03,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-04,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-05,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-06,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-07,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-08,10,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-09,11,0,0,1.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-10,11,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-11,11,0,0,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-12,11,0,10,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-13,11,0,10,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-14,11,0,10,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-15,11,0,10,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-16,11,0,10,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-17,11,0,10,0.0,1403.0,12.0,,,0.0,0.8553100498930863,,Low Risk
Andaman and Nicobar Islands,2020-04-18,12,0,11,1.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-19,14,0,11,2.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-20,15,0,11,1.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-21,16,0,11,1.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-22,17,0,11,1.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-23,18,0,11,1.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-24,22,0,11,4.0,2679.0,27.0,,,0.0,1.007838745800672,,Low Risk
Andaman and Nicobar Islands,2020-04-25,27,0,11,5.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-26,33,0,11,6.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-27,33,0,11,0.0,2848.0,33.0,,,0.0,1.1587078651685394,,Low Risk
Andaman and Nicobar Islands,2020-04-28,33,0,11,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-29,33,0,15,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-04-30,33,0,15,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-01,33,0,16,0.0,3754.0,33.0,,,0.0,0.8790623335109218,,Low Risk
Andaman and Nicobar Islands,2020-05-02,33,0,16,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-03,33,0,17,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-04,33,0,32,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-05,33,0,32,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-06,33,0,32,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-07,33,0,32,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-08,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-09,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-10,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-11,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-12,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-13,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-14,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-15,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-16,33,0,33,0.0,6677.0,33.0,,,0.0,0.4942339373970346,,Low Risk
Andaman and Nicobar Islands,2020-05-17,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-18,33,0,33,0.0,,,,,0.0,,,Low Risk
Andaman and Nicobar Islands,2020-05-19,33,0,33,0.0,6965.0,33.0,,,0.0,0.47379755922469485,,Low Risk
Andaman and Nicobar Islands,2020-05-20,33,0,33,0.0,7082.0,33.0,,,0.0,0.465970064953403,,Low Risk
Andaman and Nicobar Islands,2020-05-21,33,0,33,0.0,7167.0,33.0,,,0.0,0.46044370029300963,,Low Risk
Andaman and Nicobar Islands,2020-05-22,33,0,33,0.0,7263.0,33.0,,,0.0,0.45435770342833537,,Low Risk
Andaman and Nicobar Islands,2020-05-23,33,0,33,0.0,7327.0,33.0,,,0.0,0.4503889722942541,,Low Risk
Andaman and Nicobar Islands,2020-05-24,33,0,33,0.0,7327.0,33.0,,,0.0,0.4503889722942541,,Low Risk
Andaman and Nicobar Islands,2020-05-25,33,0,33,0.0,7363.0,33.0,,,0.0,0.4481868803476844,,Low Risk
Andaman and Nicobar Islands,2020-05-26,33,0,33,0.0,7448.0,33.0,,,0.0,0.4430719656283566,,Low Risk
Andaman and Nicobar Islands,2020-05-27,33,0,33,0.0,7499.0,33.0,,,0.0,0.44005867448993197,,Low Risk
Andaman and Nicobar Islands,2020-05-28,33,0,33,0.0,7519.0,33.0,,,0.0,0.43888815001994946,,Low Risk
Andaman and Nicobar Islands,2020-05-29,33,0,33,0.0,7567.0,33.0,,,0.0,0.4361041363816572,,Low Risk
Andaman and Nicobar Islands,2020-05-30,33,0,33,0.0,7567.0,33.0,,,0.0,0.4361041363816572,,Low Risk
Andaman and Nicobar Islands,2020-05-31,33,0,33,0.0,7706.0,33.0,,,0.0,0.42823773682844535,,Low Risk
Andaman and Nicobar Islands,2020-06-01,33,0,33,0.0,7805.0,33.0,,,0.0,0.4228058936579116,,Low Risk
Andaman and Nicobar Islands,2020-06-02,33,0,33,0.0,8086.0,33.0,,,0.0,0.4081127875340094,,Low Risk
Andaman and Nicobar Islands,2020-06-03,33,0,33,0.0,8295.0,33.0,,,0.0,0.3978300180831827,,Low Risk
Andaman and Nicobar Islands,2020-06-04,33,0,33,0.0,8413.0,33.0,,,0.0,0.3922500891477475,,Low Risk
Andaman and Nicobar Islands,2020-06-05,33,0,33,0.0,8694.0,33.0,,,0.0,0.3795721187025535,,Low Risk
Andaman and Nicobar Islands,2020-06-06,33,0,33,0.0,9037.0,33.0,,,0.0,0.3651654310058648,,Low Risk
Andaman and Nicobar Islands,2020-06-07,33,0,33,0.0,9242.0,33.0,,,0.0,0.3570655702228955,,Low Risk
Andaman and Nicobar Islands,2020-06-08,33,0,33,0.0,9341.0,33.0,,,0.0,0.35328123327266886,,Low Risk
Andaman and Nicobar Islands,2020-06-09,33,0,33,0.0,9859.0,33.0,,,0.0,0.3347195455928593,,Low Risk
Andaman and Nicobar Islands,2020-06-10,33,0,33,0.0,10010.0,35.0,,,0.0,0.34965034965034963,,Low Risk
Andaman and Nicobar Islands,2020-06-11,34,0,33,1.0,10226.0,38.0,,,0.0,0.37160179933502835,,Low Risk
Andaman and Nicobar Islands,2020-06-12,38,0,33,4.0,10697.0,38.0,,,0.0,0.3552397868561279,,Low Risk
Andaman and Nicobar Islands,2020-06-13,38,0,33,0.0,10955.0,38.0,,,0.0,0.3468735737106344,,Low Risk
Andaman and Nicobar Islands,2020-06-14,38,0,33,0.0,11356.0,38.0,,,0.0,0.33462486791123636,,Low Risk
Andaman and Nicobar Islands,2020-06-15,38,0,33,0.0,11518.0,41.0,,,0.0,0.3559645771835388,,Low Risk
Andaman and Nicobar Islands,2020-06-16,41,0,33,3.0,11809.0,44.0,,,0.0,0.37259717164874245,,Low Risk
Andaman and Nicobar Islands,2020-06-17,44,0,33,3.0,12239.0,44.0,,,0.0,0.35950649562872783,,Low Risk
Andaman and Nicobar Islands,2020-06-18,44,0,33,0.0,12622.0,45.0,,,0.0,0.3565203612739661,,Low Risk
Andaman and Nicobar Islands,2020-06-19,44,0,33,0.0,12930.0,47.0,,,0.0,0.36349574632637277,,Low Risk
Andaman and Nicobar Islands,2020-06-20,45,0,35,1.0,13320.0,47.0,,,0.0,0.35285285285285284,,Low Risk
Andaman and Nicobar Islands,2020-06-21,47,0,36,2.0,13434.0,48.0,,,0.0,0.3573023671281822,,Low Risk
Andaman and Nicobar Islands,2020-06-22,48,0,37,1.0,13511.0,48.0,,,0.0,0.35526607949078526,,Low Risk
Andaman and Nicobar Islands,2020-06-23,48,0,37,0.0,13723.0,50.0,,,0.0,0.3643518181155724,,Low Risk
Andaman and Nicobar Islands,2020-06-24,50,0,40,2.0,13994.0,56.0,,,0.0,0.4001715020723167,,Low Risk
Andaman and Nicobar Islands,2020-06-25,56,0,43,6.0,14277.0,59.0,,,0.0,0.41325208377110034,,Low Risk
Andaman and Nicobar Islands,2020-06-26,59,0,43,3.0,14583.0,72.0,,,0.0,0.4937255708701913,,Low Risk
Andaman and Nicobar Islands,2020-06-27,72,0,43,13.0,14851.0,73.0,,,0.0,0.49154939061342673,,Low Risk
Andaman and Nicobar Islands,2020-06-28,72,0,43,0.0,15094.0,83.0,,,0.0,0.5498873724658805,,Low Risk
Andaman and Nicobar Islands,2020-06-29,76,0,45,4.0,15410.0,90.0,,,0.0,0.5840363400389358,,Low Risk
Andaman and Nicobar Islands,2020-06-30,90,0,46,14.0,15709.0,97.0,,,0.0,0.6174804252339423,,Low Risk
Andaman and Nicobar Islands,2020-07-01,97,0,50,7.0,15982.0,100.0,,,0.0,0.6257039169065198,,Low Risk
